         y                       y+                           produc                    t-diff                  v-diff              p-strain                     p-diff                  dissip                     bal       
    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    4.309076290968223e-14    3.506518808574267e-01   -1.643625642454273e-19    0.000000000000000e+00    3.506518925822278e-01   -1.172475810884421e-08
    2.764315143122253e-06    2.765729439839074e-03    4.325656986745421e-11    8.533917455022547e-11    3.505819868715882e-01    2.322953776341872e-05    0.000000000000000e+00    3.506052968418457e-01   -8.030389836433116e-08
    1.382146873540879e-05    1.382854016425900e-02    5.412787330918806e-09    1.067663868452737e-08    3.503057965489640e-01    1.152288164720823e-04    0.000000000000000e+00    3.504213480904017e-01   -3.066355395153764e-07
    3.869966314673512e-05    3.871946291763557e-02    1.191048023981872e-07    2.346742045349766e-07    3.497036001723426e-01    3.168848954372047e-04    0.000000000000000e+00    3.500213116471921e-01   -4.728004054377344e-07
    8.292656586705860e-05    8.296899329076779e-02    1.176883129348807e-06    2.314476900308931e-06    3.486940714904235e-01    6.573459427158017e-04    0.000000000000000e+00    3.493551574661017e-01   -2.486729327455528e-07
    1.520290955829839e-04    1.521068776879944e-01    7.298889809562511e-06    1.431379198787324e-05    3.472550822436835e-01    1.144087212088075e-03    0.000000000000000e+00    3.484206524265274e-01    1.297110415743319e-07
    2.515332082846378e-04    2.516618993246350e-01    3.335752894998631e-05    6.516083035118940e-05    3.454272859624090e-01    1.751378569939089e-03    0.000000000000000e+00    3.472771863590895e-01   -3.467440279347755e-09
    3.869636834078483e-04    3.871616642597545e-01    1.228803098655764e-04    2.387301179212294e-04    3.432713830294717e-01    2.409255431475117e-03    0.000000000000000e+00    3.460430221002264e-01   -7.732114927216927e-07
    5.610795948808311e-04    5.613666580367414e-01    3.797609665881959e-04    7.320225985295333e-04    3.407730492474437e-01    2.989057380030955e-03    0.000000000000000e+00    3.448758525392512e-01   -1.962346658834768e-06
    7.738742043458258e-04    7.742701388503129e-01    1.011131425623350e-03    1.925951010178771e-03    3.375975594168312e-01    3.328529392744974e-03    0.000000000000000e+00    3.438669596165401e-01   -3.788371161772552e-06
    1.025339276563786e-03    1.025863867248057e+00    2.384833734039377e-03    4.458317797697708e-03    3.328033864053115e-01    3.267221255630231e-03    0.000000000000000e+00    3.429204467148945e-01   -6.687522215609309e-06
    1.315465079733014e-03    1.316138106449228e+00    5.092846793160764e-03    9.246680730661712e-03    3.246688628458330e-01    2.663300688762979e-03    0.000000000000000e+00    3.416827776575528e-01   -1.108659913440224e-05
    1.644240385865192e-03    1.645081622720975e+00    1.000511441365804e-02    1.738135110909084e-02    3.107108402706177e-01    1.407850917342030e-03    0.000000000000000e+00    3.395225545214309e-01   -1.739781072235269e-05
    2.011652471220593e-03    2.012681685813766e+00    1.828566256865404e-02    2.980808590730682e-02    2.880552883021044e-01   -5.651156204123959e-04    0.000000000000000e+00    3.356098512850607e-01   -2.593012740786937e-05
    2.417687116800127e-03    2.418924069453697e+00    3.133364869444171e-02    4.680119852910320e-02    2.542284118840916e-01   -3.273872432066298e-03    0.000000000000000e+00    3.291260955666703e-01   -3.670889110002351e-05
    2.862328608895792e-03    2.863793051893218e+00    5.061553940478761e-02    6.739160405089255e-02    2.082008698595167e-01   -6.689587380410200e-03    0.000000000000000e+00    3.195676528711590e-01   -4.922693637227082e-05
    3.345559739698523e-03    3.347271416519292e+00    7.738047177041138e-02    8.906033930663364e-02    1.512610147274034e-01   -1.074186364342205e-02    0.000000000000000e+00    3.070222239891035e-01   -6.226182807717029e-05
    3.867361807964542e-03    3.869340452520091e+00    1.122988105731956e-01    1.079854462464670e-01    8.723927323307996e-02   -1.532813186943266e-02    0.000000000000000e+00    2.922693531857353e-01   -7.395500242546316e-05
    4.427714619738898e-03    4.429979955608904e+00    1.551168107899461e-01    1.198899357115028e-01    2.186278596805059e-02   -2.032515149927621e-02    0.000000000000000e+00    2.766266201182691e-01   -8.223914804583732e-05
    5.026596489136725e-03    5.029168228805792e+00    2.044483713624535e-01    1.212166974737917e-01   -3.855792187122390e-02   -2.560046777133393e-02    0.000000000000000e+00    2.615921726368482e-01   -8.549344316088892e-05
    5.663984239183018e-03    5.666882083277795e+00    2.578034864463586e-01    1.101689853978901e-01   -8.859928325802352e-02   -3.102188957709681e-02    0.000000000000000e+00    2.484345467900965e-01   -8.324778096813201e-05
    6.339853202709356e-03    6.343096839236119e+00    3.118820791580497e-01    8.721773837120093e-02   -1.248202364944074e-01   -3.646396627328239e-02    0.000000000000000e+00    2.378923831809152e-01   -7.676841935441714e-05
    7.054177223308256e-03    7.057786326890970e+00    3.630704964472560e-01    5.492979535866727e-02   -1.461811846202016e-01   -4.181165499433157e-02    0.000000000000000e+00    2.300765388208791e-01   -6.908662948901245e-05
    7.806928656345802e-03    7.810922887464708e+00    4.080084163542301e-01    1.725297593393015e-02   -1.537946175071001e-01   -4.696226824048683e-02    0.000000000000000e+00    2.245684248554673e-01   -6.391831489394040e-05
    8.598078370031459e-03    8.602477374262202e+00    4.440769429413409e-01   -2.143572585902071e-02   -1.502419263897771e-01   -5.182693995267678e-02    0.000000000000000e+00    2.206361177042397e-01   -6.376696437340734e-05
    9.427595746545392e-03    9.432419153798731e+00    4.696970054184984e-01   -5.720273292868520e-02   -1.387607455316625e-01   -5.633230025546325e-02    0.000000000000000e+00    2.174700554787543e-01   -6.882877606692595e-05
    1.029544868322330e-02    1.030071610698542e+01    4.843978613420167e-01   -8.714166909309613e-02   -1.225459670860958e-01   -6.042230486250540e-02    0.000000000000000e+00    2.143651198844550e-01   -7.719958413557326e-05
    1.120160359379907e-02    1.120733463037254e+01    4.886855628789032e-01   -1.096009437646390e-01   -1.042926915578461e-01   -6.405967900531918e-02    0.000000000000000e+00    2.108177101672954e-01   -8.546161619640835e-05
    1.214602540970411e-02    1.215223963744949e+01    4.837853024139659e-01   -1.241087407452159e-01   -8.599651970291493e-02   -6.722628944409659e-02    0.000000000000000e+00    2.065437119902639e-01   -8.995946852552450e-05
    1.312867758142522e-02    1.313539456000337e+01    4.713416974483355e-01   -1.311131959134200e-01   -6.895013821637198e-02   -6.992197087756123e-02    0.000000000000000e+00    2.014450320699693e-01   -8.863962898697508e-05
    1.414952207991849e-02    1.415676134953360e+01    4.531448220970037e-01   -1.316555992761456e-01   -5.385477271317615e-02   -7.216190957097976e-02    0.000000000000000e+00    1.955543057014865e-01   -8.176516478433649e-05
    1.520851939808121e-02    1.521630047872461e+01    4.309211386790231e-01   -1.270622981408118e-01   -4.097721975083716e-02   -7.397304323456273e-02    0.000000000000000e+00    1.889793320848910e-01   -7.075453207960880e-05
    1.630562855228079e-02    1.631397094297549e+01    4.062005562123807e-01   -1.187046954602361e-01   -3.030175296600272e-02   -7.538988319622625e-02    0.000000000000000e+00    1.818602179976940e-01   -5.599340777834305e-05
    1.744080708394102e-02    1.744973026198709e+01    3.802514775239292e-01   -1.078442342487768e-01   -2.165183531442966e-02   -7.645034639238749e-02    0.000000000000000e+00    1.743418109711631e-01   -3.674940282777373e-05
    1.861401106118499e-02    1.862353448140579e+01    3.540667196008735e-01   -9.555353052418368e-02   -1.477700755408425e-02   -7.719224197332787e-02    0.000000000000000e+00    1.665580574070112e-01   -1.411785773350327e-05
    1.982519508053548e-02    1.983533817452478e+01    3.283820366544837e-01   -8.268855271448122e-02   -9.407897228486653e-03   -7.765060704675808e-02    0.000000000000000e+00    1.586253258462414e-01    9.653818516364154e-06
    2.107431226867196e-02    2.108509444404186e+01    3.037115769031912e-01   -6.989329382997103e-02   -5.285971964385356e-03   -7.785589082313539e-02    0.000000000000000e+00    1.506421597973775e-01    3.426048832191886e-05
    2.236131428424448e-02    2.237275492387440e+01    2.803887201022376e-01   -5.762551091069323e-02   -2.177100932725587e-03   -7.783314114128352e-02    0.000000000000000e+00    1.426929170818261e-01    6.005003570919154e-05
    2.368615131974483e-02    2.369826978103134e+01    2.586057423507187e-01   -4.618949924381614e-02    1.208700400868140e-04   -7.760234603872800e-02    0.000000000000000e+00    1.348496588495986e-01    8.510825866281380e-05
    2.504877210343381e-02    2.506158771754150e+01    2.384490285949164e-01   -3.576919337531697e-02    1.776817033737388e-03   -7.717940927629589e-02    0.000000000000000e+00    1.271723893795963e-01    1.048535974445819e-04
    2.644912390132592e-02    2.646265597243926e+01    2.199287914283286e-01   -2.645398542332712e-02    2.923720086475624e-03   -7.657700316906442e-02    0.000000000000000e+00    1.197090513261623e-01    1.124715962504547e-04
    2.788715251922946e-02    2.790142032380578e+01    2.030043906811702e-01   -1.826401797416872e-02    3.666127885885712e-03   -7.580585428141473e-02    0.000000000000000e+00    1.124983120533978e-01    1.023342580746267e-04
    2.936280230484456e-02    2.937782509086797e+01    1.876044958296598e-01   -1.117355031373251e-02    4.095917989959999e-03   -7.487587994511694e-02    0.000000000000000e+00    1.055740393867895e-01    7.694417398089459e-05
    3.087601614991642e-02    3.089181313615294e+01    1.736405419587476e-01   -5.124075165100686e-03    4.289232561964653e-03   -7.379664855158123e-02    0.000000000000000e+00    9.896423293627533e-02    4.481786775500929e-05
    3.242673549244579e-02    3.244332586769960e+01    1.610150359103620e-01   -4.286848129830831e-05    4.312716095231406e-03   -7.257750485690409e-02    0.000000000000000e+00    9.269281681170682e-02    1.456185568413093e-05
    3.401490031895527e-02    3.403230324132603e+01    1.496264270256445e-01    4.142693049778140e-03    4.226195110500085e-03   -7.122803383255018e-02    0.000000000000000e+00    8.677695409170411e-02   -9.672738331509279e-06
    3.564044916681175e-02    3.565868376295324e+01    1.393704768770540e-01    7.507950585894297e-03    4.075206912977570e-03   -6.975871924408275e-02    0.000000000000000e+00    8.122295211412504e-02   -2.803698228191764e-05
    3.730331912660501e-02    3.732240449098487e+01    1.301414423227919e-01    1.014352609260342e-02    3.876737126684612e-03   -6.818117423608075e-02    0.000000000000000e+00    7.602512216822524e-02   -4.459086222607933e-05
    3.900344584458260e-02    3.902340103874341e+01    1.218370003607608e-01    1.214181859526178e-02    3.644314304922562e-03   -6.650990008895641e-02    0.000000000000000e+00    7.117487439537287e-02   -6.164122338417344e-05
    4.074076352514011e-02    4.076160757696167e+01    1.143624018788793e-01    1.358402749864647e-02    3.394488346851777e-03   -6.476220183748120e-02    0.000000000000000e+00    6.666152055562111e-02   -8.280466872474801e-05
    4.251520493336736e-02    4.253695683633031e+01    1.076307943610027e-01    1.456251085997099e-02    3.131229604776097e-03   -6.295672916877734e-02    0.000000000000000e+00    6.246942827481679e-02   -1.016226178442853e-04
    4.432670139765083e-02    4.434938011010160e+01    1.015624008719860e-01    1.517065223991129e-02    2.861859917490400e-03   -6.111303690204459e-02    0.000000000000000e+00    5.858267531284651e-02   -1.007991855034168e-04
    4.617518281233113e-02    4.619880725674824e+01    9.608433176444364e-02    1.546834784075336e-02    2.602367324729499e-03   -5.924898380734016e-02    0.000000000000000e+00    5.498533046621590e-02   -7.926734362954935e-05
    4.806057764041582e-02    4.808516670267758e+01    9.112973695536304e-02    1.549722555491246e-02    2.359809865605295e-03   -5.737888674699235e-02    0.000000000000000e+00    5.165946392948349e-02   -5.157830059503848e-05
    4.998281291634821e-02    5.000838544500180e+01    8.663723033191507e-02    1.530484313329044e-02    2.131974868710240e-03   -5.551520710077077e-02    0.000000000000000e+00    4.858888610891750e-02   -3.004487577250997e-05
    5.194181424883126e-02    5.196838905436334e+01    8.255365484767573e-02    1.494265705312991e-02    1.912644864052130e-03   -5.366931701844201e-02    0.000000000000000e+00    4.575531518713910e-02   -1.567544072335336e-05
    5.393750582370627e-02    5.396510167781492e+01    7.883475583926568e-02    1.445948968981546e-02    1.706074845674246e-03   -5.185215177280015e-02    0.000000000000000e+00    4.314208493598949e-02    6.083665965737894e-06
    5.596981040688709e-02    5.599844604175545e+01    7.544102581363590e-02    1.388767196677881e-02    1.521091235381970e-03   -5.007300742377814e-02    0.000000000000000e+00    4.073516784914401e-02    4.161374287453556e-05
    5.803864934734893e-02    5.806834345492015e+01    7.233463075981822e-02    1.324387306631177e-02    1.356371524252448e-03   -4.833830570889061e-02    0.000000000000000e+00    3.851743551207407e-02    7.913412941774195e-05
    6.014394258017242e-02    6.017471381142636e+01    6.947960493461840e-02    1.254214729512381e-02    1.209082157706232e-03   -4.665363415083104e-02    0.000000000000000e+00    3.647060465110353e-02    1.065955855138676e-04
    6.228560862964228e-02    6.231747559387363e+01    6.684312776543654e-02    1.180495431199095e-02    1.077583286255356e-03   -4.502346224936033e-02    0.000000000000000e+00    3.457951506732719e-02    1.226880469953270e-04
    6.446356461239977e-02    6.449654587649793e+01    6.439769066072769e-02    1.105022745475349e-02    9.647996297049526e-04   -4.345080166113702e-02    0.000000000000000e+00    3.283119963384548e-02    1.307164502036412e-04
    6.667772624065105e-02    6.671184032838154e+01    6.212262159475103e-02    1.028831377935405e-02    8.700210756247371e-04   -4.193736447214010e-02    0.000000000000000e+00    3.121316456566156e-02    1.304274119281572e-04
    6.892800782542907e-02    6.896327321671669e+01    6.000097364366572e-02    9.528666850013053e-03    7.852805279483028e-04   -4.048290305825497e-02    0.000000000000000e+00    2.971373407643610e-02    1.182838869360110e-04
    7.121432227990920e-02    7.125075741012280e+01    5.801462852570267e-02    8.784368010456975e-03    7.003547869708269e-04   -3.908725336195862e-02    0.000000000000000e+00    2.831968315613927e-02    9.241480503257432e-05
