y	y+	dissip	produc	p-strain	p-diff	t-diff	v-diff	bal
0.00000E+00	0.00000E+00	1.71460E-01	5.78650E-31	0.00000E+00	-9.12130E-06	-5.78650E-31	1.71460E-01	3.41060E-13
3.01180E-04	5.36480E-02	1.70210E-01	1.11170E-07	0.00000E+00	5.96040E-04	1.52900E-07	1.69610E-01	-4.65690E-07
1.20450E-03	2.14560E-01	1.67000E-01	7.18160E-06	0.00000E+00	2.21450E-03	9.77520E-06	1.64760E-01	-3.31250E-06
2.70950E-03	4.82630E-01	1.62590E-01	8.30040E-05	0.00000E+00	4.49250E-03	1.11260E-04	1.57890E-01	-1.29030E-05
4.81530E-03	8.57710E-01	1.57820E-01	4.74430E-04	0.00000E+00	6.87340E-03	6.22280E-04	1.49810E-01	-3.63460E-05
7.52050E-03	1.33960E+00	1.53210E-01	1.83640E-03	0.00000E+00	8.90990E-03	2.32190E-03	1.40060E-01	-8.18600E-05
1.08230E-02	1.92790E+00	1.48590E-01	5.50540E-03	0.00000E+00	1.02500E-02	6.50560E-03	1.26170E-01	-1.58320E-04
1.47220E-02	2.62240E+00	1.43320E-01	1.36470E-02	0.00000E+00	1.08460E-02	1.43200E-02	1.04250E-01	-2.65640E-04
1.92150E-02	3.42260E+00	1.36780E-01	2.89250E-02	0.00000E+00	1.07570E-02	2.50970E-02	7.16050E-02	-3.90300E-04
2.42980E-02	4.32800E+00	1.29330E-01	5.33860E-02	0.00000E+00	1.02020E-02	3.48860E-02	3.03670E-02	-4.98540E-04
2.99690E-02	5.33810E+00	1.22550E-01	8.68120E-02	0.00000E+00	9.28420E-03	3.75220E-02	-1.16350E-02	-5.57390E-04
3.62240E-02	6.45230E+00	1.18170E-01	1.25630E-01	0.00000E+00	8.13140E-03	2.86210E-02	-4.47470E-02	-5.36400E-04
4.30600E-02	7.67000E+00	1.16770E-01	1.63580E-01	0.00000E+00	6.72850E-03	9.09230E-03	-6.30820E-02	-4.44720E-04
5.04720E-02	8.99020E+00	1.17460E-01	1.94030E-01	0.00000E+00	5.14740E-03	-1.52940E-02	-6.67260E-02	-3.08440E-04
5.84560E-02	1.04120E+01	1.18640E-01	2.12520E-01	0.00000E+00	3.40370E-03	-3.74900E-02	-5.99590E-02	-1.57400E-04
6.70070E-02	1.19360E+01	1.18940E-01	2.17930E-01	0.00000E+00	1.71000E-03	-5.25450E-02	-4.81430E-02	3.47060E-06
7.61200E-02	1.35590E+01	1.17680E-01	2.12060E-01	0.00000E+00	1.69580E-04	-5.88920E-02	-3.55630E-02	1.10370E-04
8.57900E-02	1.52810E+01	1.14790E-01	1.98220E-01	0.00000E+00	-1.02330E-03	-5.77360E-02	-2.45470E-02	1.21210E-04
9.60110E-02	1.71020E+01	1.10610E-01	1.79890E-01	0.00000E+00	-1.91660E-03	-5.15360E-02	-1.57720E-02	6.56250E-05
1.06780E-01	1.90190E+01	1.05520E-01	1.59940E-01	0.00000E+00	-2.46960E-03	-4.26920E-02	-9.20840E-03	4.44500E-05
1.18080E-01	2.10330E+01	9.97960E-02	1.40280E-01	0.00000E+00	-2.72990E-03	-3.31200E-02	-4.53710E-03	1.06850E-04
