y	y+	Umean	dUmean/dy	Wmean	Pmean	dissip	produc	R_uu	R_vv	R_ww	R_uv	R_uw	R_vw	k
0	0	0	1994.756	0	0	0.270540051	0	0	0	0	0	0	0	0
1.21731E-06	0.00242824	0.002428239	1994.753572	9.85758E-07	0	0.270415654	1.5E-11	1.10262E-06	0	4.92208E-07	-1.5E-11	3.44E-10	0	7.97416E-07
6.08654E-06	0.01214116	0.012141123	1994.743855	4.92878E-06	-4E-12	0.269920876	1.909E-09	2.75585E-05	4E-12	1.22754E-05	-1.909E-09	8.598E-09	-1E-12	1.9917E-05
1.70422E-05	0.033995073	0.033994783	1994.721922	1.38005E-05	-2.32E-10	0.2688238	4.2011E-08	0.000215937	2.32E-10	9.57166E-05	-4.2011E-08	6.757E-08	-1.4E-11	0.000155827
3.65188E-05	0.072846088	0.072844751	1994.682331	2.95723E-05	-4.834E-09	0.266927118	4.15044E-07	0.000990581	4.834E-09	0.000435295	-4.15059E-07	3.11564E-07	-1.35E-10	0.000712941
6.69505E-05	0.133550024	0.133545468	1994.617333	5.42154E-05	-5.3567E-08	0.264094354	2.5734E-06	0.003324593	5.3567E-08	0.001441287	-2.57358E-06	1.05395E-06	-8.45E-10	0.002382967
0.000110772	0.220962325	0.220949442	1994.511628	8.97006E-05	-3.90451E-07	0.260274899	1.1757E-05	0.009083081	3.90451E-07	0.003861762	-1.17585E-05	2.91156E-06	-3.884E-09	0.006472617
0.000170416	0.339937983	0.339905368	1994.329792	0.000137998	-2.10663E-06	0.255518584	4.32932E-05	0.021444501	2.10663E-06	0.008879286	-4.33024E-05	6.975E-06	-1.4386E-08	0.015162947
0.000247099	0.492903211	0.492825986	1993.996412	0.00020009	-8.87539E-06	0.25005112	0.000133757	0.044953552	8.87539E-06	0.017993299	-0.000133807	1.48869E-05	-4.4606E-08	0.031477863
0.000340821	0.679855401	0.679679682	1993.365697	0.000275965	-3.03044E-05	0.244185565	0.000356128	0.085238795	3.03044E-05	0.032743189	-0.000356377	2.88246E-05	-1.18761E-07	0.059006144
0.00045158	0.900791367	0.900400955	1992.177324	0.000365602	-8.72371E-05	0.238156765	0.000840447	0.149088612	8.72371E-05	0.05458244	-0.000841534	5.16098E-05	-2.7912E-07	0.101879144
0.000579373	1.155707344	1.154859056	1990.007198	0.000468951	-0.00021866	0.232078587	0.001797624	0.244357944	0.00021866	0.08471657	-0.001801912	8.6768E-05	-5.92326E-07	0.164646587
0.000724198	1.444598987	1.442807479	1986.217023	0.000585923	-0.000489238	0.225922797	0.003542299	0.37976516	0.000489238	0.123974705	-0.003557525	0.000138548	-1.15498E-06	0.252114552
0.000886054	1.767461374	1.763809898	1979.914966	0.000716354	-0.000996024	0.219532041	0.00650673	0.564488876	0.000996024	0.17272801	-0.006555497	0.000211849	-2.09695E-06	0.369106455
0.001064937	2.124289002	2.117141328	1969.944738	0.00085998	-0.00187276	0.212677719	0.011234049	0.807470799	0.00187276	0.230862647	-0.011375531	0.000311998	-3.5802E-06	0.520103103
0.001260844	2.515075789	2.501669245	1954.921509	0.001016387	-0.003290567	0.205158788	0.018338245	1.11637714	0.003290567	0.297808507	-0.018711899	0.000444317	-5.79051E-06	0.708738107
0.001473771	2.939815076	2.915727281	1933.32693	0.001184973	-0.005454472	0.196913271	0.028422732	1.496280072	0.005454472	0.372617553	-0.029325805	0.000613502	-8.92054E-06	0.937176048
0.001703717	3.398499624	3.357001883	1903.661676	0.001364904	-0.008596103	0.188097139	0.041961016	1.948267368	0.008596103	0.454078046	-0.043968908	0.00082292	-1.31465E-05	1.205470758
