y	y+	dissip	produc	p-strain	p-diff	t-diff	v-diff	bal	
0.00000E+00	0.00000E+00	2.17590E-01	-1.11850E-30	0.00000E+00	1.09600E-05	1.11850E-30	2.17590E-01	0.00000E+00	
7.52980E-05	2.95350E-02	2.16840E-01	2.44160E-08	0.00000E+00	5.21430E-04	4.05210E-08	2.16050E-01	-2.62670E-04	
3.01180E-04	1.18140E-01	2.13670E-01	1.57170E-06	0.00000E+00	2.03950E-03	2.59460E-06	2.11590E-01	-3.99720E-05	
6.77620E-04	2.65790E-01	2.09170E-01	1.80910E-05	0.00000E+00	4.30890E-03	2.96010E-05	2.04820E-01	1.63930E-05	
1.20450E-03	4.72480E-01	2.03770E-01	1.03040E-04	0.00000E+00	7.06950E-03	1.66750E-04	1.96450E-01	1.15510E-05	
1.88190E-03	7.38160E-01	1.97970E-01	3.99090E-04	0.00000E+00	9.92580E-03	6.36320E-04	1.87020E-01	1.83120E-05	
2.70950E-03	1.06280E+00	1.92130E-01	1.20880E-03	0.00000E+00	1.25890E-02	1.88340E-03	1.76470E-01	1.87230E-05	
3.68740E-03	1.44640E+00	1.86280E-01	3.07790E-03	0.00000E+00	1.47470E-02	4.61410E-03	1.63880E-01	4.59480E-05	
4.81530E-03	1.88880E+00	1.80180E-01	6.86250E-03	0.00000E+00	1.62860E-02	9.65500E-03	1.47430E-01	4.59560E-05	
6.09300E-03	2.39000E+00	1.73400E-01	1.37240E-02	0.00000E+00	1.71070E-02	1.75010E-02	1.25110E-01	5.17830E-05	
7.52050E-03	2.94990E+00	1.65660E-01	2.49790E-02	0.00000E+00	1.73100E-02	2.76380E-02	9.57640E-02	1.90050E-05	
9.09740E-03	3.56840E+00	1.57180E-01	4.17590E-02	0.00000E+00	1.69420E-02	3.80780E-02	6.03940E-02	5.95230E-07	
1.08230E-02	4.24550E+00	1.48690E-01	6.45380E-02	0.00000E+00	1.61830E-02	4.56720E-02	2.22790E-02	-2.18480E-05	
1.26990E-02	4.98100E+00	1.41210E-01	9.26940E-02	0.00000E+00	1.50770E-02	4.72210E-02	-1.37730E-02	1.70090E-05	
1.47220E-02	5.77480E+00	1.35610E-01	1.24340E-01	0.00000E+00	1.37540E-02	4.08250E-02	-4.32110E-02	9.33580E-05	
1.68950E-02	6.62680E+00	1.32240E-01	1.56590E-01	0.00000E+00	1.21930E-02	2.67120E-02	-6.30350E-02	2.22390E-04	
1.92150E-02	7.53690E+00	1.30830E-01	1.86140E-01	0.00000E+00	1.04820E-02	7.16130E-03	-7.26110E-02	3.34550E-04	
2.16830E-02	8.50490E+00	1.30670E-01	2.10130E-01	0.00000E+00	8.59480E-03	-1.43460E-02	-7.32810E-02	4.37000E-04	
2.42980E-02	9.53070E+00	1.30870E-01	2.26650E-01	0.00000E+00	6.63950E-03	-3.42690E-02	-6.76490E-02	4.93590E-04	
2.70600E-02	1.06140E+01	1.30740E-01	2.35090E-01	0.00000E+00	4.64180E-03	-4.99750E-02	-5.84650E-02	5.56130E-04	
2.99690E-02	1.17550E+01	1.29820E-01	2.35910E-01	0.00000E+00	2.75060E-03	-6.01680E-02	-4.80540E-02	6.11130E-04	
3.30240E-02	1.29530E+01	1.27960E-01	2.30370E-01	0.00000E+00	1.01730E-03	-6.48030E-02	-3.79500E-02	6.81700E-04	
3.62240E-02	1.42090E+01	1.25200E-01	2.20050E-01	0.00000E+00	-4.24720E-04	-6.46990E-02	-2.90070E-02	7.15430E-04	
3.95690E-02	1.55210E+01	1.21690E-01	2.06550E-01	0.00000E+00	-1.53860E-03	-6.10840E-02	-2.15250E-02	7.11420E-04	
4.30600E-02	1.68900E+01	1.17640E-01	1.91250E-01	0.00000E+00	-2.27290E-03	-5.52100E-02	-1.54790E-02	6.42800E-04	
4.66940E-02	1.83150E+01	1.13230E-01	1.75290E-01	0.00000E+00	-2.65710E-03	-4.81700E-02	-1.06730E-02	5.70370E-04	
5.04720E-02	1.97970E+01	1.08570E-01	1.59490E-01	0.00000E+00	-2.73580E-03	-4.07610E-02	-6.92750E-03	4.93990E-04	
5.43930E-02	2.13350E+01	1.03710E-01	1.44390E-01	0.00000E+00	-2.60500E-03	-3.35220E-02	-4.12520E-03	4.32910E-04	
5.84560E-02	2.29290E+01	9.87080E-02	1.30290E-01	0.00000E+00	-2.32150E-03	-2.67700E-02	-2.13520E-03	3.54520E-04	
6.26610E-02	2.45780E+01	9.36590E-02	1.17370E-01	0.00000E+00	-2.02050E-03	-2.06630E-02	-7.41640E-04	2.87620E-04	
6.70070E-02	2.62830E+01	8.86690E-02	1.05680E-01	0.00000E+00	-1.69320E-03	-1.53600E-02	2.57470E-04	2.06520E-04	
7.14940E-02	2.80430E+01	8.37940E-02	9.52420E-02	0.00000E+00	-1.29220E-03	-1.08820E-02	8.69970E-04	1.48240E-04	
7.61200E-02	2.98580E+01	7.91110E-02	8.60280E-02	0.00000E+00	-8.21120E-04	-7.22560E-03	1.22950E-03	9.41600E-05	
8.08860E-02	3.17270E+01	7.46810E-02	7.79540E-02	0.00000E+00	-3.23900E-04	-4.40310E-03	1.48460E-03	3.50060E-05	
8.57900E-02	3.36510E+01	7.04810E-02	7.09040E-02	0.00000E+00	1.21320E-04	-2.18790E-03	1.61610E-03	-3.22550E-05	
9.08320E-02	3.56280E+01	6.64680E-02	6.47520E-02	0.00000E+00	4.03960E-04	-2.36280E-04	1.55200E-03	8.70600E-06	
