y	y+	R_uu	R_vv	R_ww	R_uv	R_uw	R_vw	k
0.000000E+00	0.000000E+00	5.337600E-28	4.901800E-29	5.957500E-28	1.120600E-30	-6.128200E-30	6.279300E-32	5.892640E-28
7.529800E-05	2.953500E-02	1.368400E-04	9.473400E-11	5.294300E-05	-2.441400E-08	5.946400E-08	-2.852500E-11	9.489155E-05
3.011800E-04	1.181400E-01	2.182800E-03	2.360300E-08	8.271500E-04	-1.572800E-06	8.322800E-07	-1.714100E-09	1.504987E-03
6.776200E-04	2.657900E-01	1.102000E-02	5.787800E-07	4.039200E-03	-1.811300E-05	3.361600E-06	-1.905100E-08	7.529889E-03
1.204500E-03	4.724800E-01	3.471800E-02	5.440000E-06	1.214700E-02	-1.032400E-04	1.073200E-05	-1.041100E-07	2.343522E-02
1.881900E-03	7.381600E-01	8.445400E-02	3.001400E-05	2.785200E-02	-4.002700E-04	2.829700E-05	-3.827200E-07	5.616801E-02
2.709500E-03	1.062800E+00	1.743800E-01	1.175600E-04	5.356400E-02	-1.214300E-03	6.686500E-05	-1.096900E-06	1.140308E-01
3.687400E-03	1.446400E+00	3.212300E-01	3.620400E-04	9.094700E-02	-3.100900E-03	1.450600E-04	-2.628800E-06	2.062695E-01
4.815300E-03	1.888800E+00	5.433600E-01	9.320300E-04	1.406200E-01	-6.948600E-03	2.909700E-04	-5.459600E-06	3.424560E-01
6.093000E-03	2.390000E+00	8.585100E-01	2.087900E-03	2.020900E-01	-1.401500E-02	5.472300E-04	-1.009100E-05	5.313440E-01
7.520500E-03	2.949900E+00	1.280200E+00	4.185200E-03	2.738400E-01	-2.585800E-02	9.737300E-04	-1.711900E-05	7.791126E-01
9.097400E-03	3.568400E+00	1.813200E+00	7.661000E-03	3.536900E-01	-4.413500E-02	1.652900E-03	-2.776400E-05	1.087276E+00
1.082300E-02	4.245500E+00	2.449000E+00	1.300500E-02	4.391900E-01	-7.027600E-02	2.684700E-03	-4.458700E-05	1.450598E+00
1.269900E-02	4.981000E+00	3.164400E+00	2.072400E-02	5.280400E-01	-1.051300E-01	4.172100E-03	-7.104400E-05	1.856582E+00
1.472200E-02	5.774800E+00	3.922900E+00	3.130000E-02	6.183400E-01	-1.486900E-01	6.188900E-03	-1.089300E-04	2.286270E+00
1.689500E-02	6.626800E+00	4.681100E+00	4.515700E-02	7.087100E-01	-1.999900E-01	8.756200E-03	-1.546000E-04	2.717484E+00
1.921500E-02	7.536900E+00	5.395300E+00	6.263600E-02	7.981900E-01	-2.572400E-01	1.183400E-02	-1.955200E-04	3.128063E+00
2.168300E-02	8.504900E+00	6.028600E+00	8.397100E-02	8.861000E-01	-3.180800E-01	1.538700E-02	-2.102900E-04	3.499336E+00
2.429800E-02	9.530700E+00	6.555800E+00	1.092800E-01	9.717800E-01	-3.800100E-01	1.944900E-02	-1.726200E-04	3.818430E+00
2.706000E-02	1.061400E+01	6.964200E+00	1.385400E-01	1.054500E+00	-4.407300E-01	2.413300E-02	-6.049000E-05	4.078620E+00
2.996900E-02	1.175500E+01	7.252400E+00	1.716200E-01	1.133300E+00	-4.983700E-01	2.950100E-02	1.326800E-04	4.278660E+00
3.302400E-02	1.295300E+01	7.427400E+00	2.082400E-01	1.207500E+00	-5.516200E-01	3.541800E-02	3.908600E-04	4.421570E+00
3.622400E-02	1.420900E+01	7.501600E+00	2.480300E-01	1.276200E+00	-5.996900E-01	4.151100E-02	6.781800E-04	4.512915E+00
3.956900E-02	1.552100E+01	7.489700E+00	2.905000E-01	1.338700E+00	-6.422400E-01	4.733000E-02	9.551100E-04	4.559450E+00
4.306000E-02	1.689000E+01	7.406900E+00	3.351000E-01	1.394800E+00	-6.792400E-01	5.251200E-02	1.198900E-03	4.568400E+00
4.669400E-02	1.831500E+01	7.267900E+00	3.812100E-01	1.444400E+00	-7.109000E-01	5.692600E-02	1.401600E-03	4.546755E+00
5.047200E-02	1.979700E+01	7.086500E+00	4.281800E-01	1.487800E+00	-7.375900E-01	6.065900E-02	1.553200E-03	4.501240E+00
5.439300E-02	2.133500E+01	6.875000E+00	4.753500E-01	1.525100E+00	-7.598000E-01	6.383500E-02	1.636000E-03	4.437725E+00
