y	y+	Umean	dUmean/dy	Wmean	Pmean	
0.00000000E+00	0.00000000E+00	0.00000000E+00	5.18589700E+03	0.00000000E+00	0.00000000E+00	
1.37107135E-05	7.11023502E-02	7.11018557E-02	5.18582383E+03	-1.12089205E-05	-4.71727155E-09	
4.16995393E-05	2.16249522E-01	2.16244401E-01	5.18562171E+03	-3.40912084E-05	-3.85104547E-07	
8.45338195E-05	4.38383693E-01	4.38354631E-01	5.18495610E+03	-6.91104941E-05	-6.05574272E-06	
1.42780837E-04	7.40446735E-01	7.40306318E-01	5.18267444E+03	-1.16722812E-04	-4.47727129E-05	
2.17007814E-04	1.12538020E+00	1.12478060E+00	5.17584992E+03	-1.77354521E-04	-2.11784542E-04	
3.07781908E-04	1.59612532E+00	1.59391218E+00	5.15844057E+03	-2.51347221E-04	-7.41762465E-04	
4.15670213E-04	2.15562297E+00	2.14856864E+00	5.12000312E+03	-3.38846883E-04	-2.08800098E-03	
5.27529039E-04	2.73571134E+00	2.71791887E+00	5.05530528E+03	-4.28694041E-04	-4.57957561E-03	
6.43357942E-04	3.33638812E+00	3.29819292E+00	4.95921486E+03	-5.20315464E-04	-8.56474529E-03	
7.63156462E-04	3.95765092E+00	3.88481006E+00	4.82918149E+03	-6.13022851E-04	-1.43432041E-02	
8.86924123E-04	4.59949728E+00	4.47266147E+00	4.66554081E+03	-7.06058192E-04	-2.21551432E-02	
1.01466043E-03	5.26192465E+00	5.05645191E+00	4.47128908E+03	-7.98644907E-04	-3.21794136E-02	
1.14636489E-03	5.94493039E+00	5.63104072E+00	4.25148531E+03	-8.90035909E-04	-4.45367707E-02	
1.28203696E-03	6.64851180E+00	6.19173475E+00	4.01247613E+03	-9.79553456E-04	-5.92951431E-02	
1.42167611E-03	7.37266608E+00	6.73450433E+00	3.76111533E+03	-1.06661644E-03	-7.64749991E-02	
1.56528179E-03	8.11739035E+00	7.25611192E+00	3.50409686E+03	-1.15075655E-03	-9.60539326E-02	
1.71285342E-03	8.88268166E+00	7.75415805E+00	3.24746261E+03	-1.23162454E-03	-1.17970371E-01	
1.86439042E-03	9.66853695E+00	8.22705859E+00	2.99629885E+03	-1.30898243E-03	-1.42126764E-01	
2.01989219E-03	1.04749531E+01	8.67397236E+00	2.75460235E+03	-1.38269238E-03	-1.68392757E-01	
2.17935810E-03	1.13019270E+01	9.09469787E+00	2.52528014E+03	-1.45270025E-03	-1.96608770E-01	
2.34278754E-03	1.21494552E+01	9.48955644E+00	2.31024070E+03	-1.51901394E-03	-2.26590218E-01	
2.51017983E-03	1.30175344E+01	9.85927463E+00	2.11053799E+03	-1.58169011E-03	-2.58132379E-01	
2.68153433E-03	1.39061613E+01	1.02048751E+01	1.92653646E+03	-1.64081703E-03	-2.91015749E-01	
2.85685036E-03	1.48153321E+01	1.05275813E+01	1.75807444E+03	-1.69650519E-03	-3.25011595E-01	
3.03612720E-03	1.57450434E+01	1.08287378E+01	1.60461197E+03	-1.74888354E-03	-3.59887429E-01	
3.21936416E-03	1.66952914E+01	1.11097477E+01	1.46535604E+03	-1.79809156E-03	-3.95412112E-01	
3.40656050E-03	1.76660724E+01	1.13720235E+01	1.33936099E+03	-1.84427793E-03	-4.31360399E-01	
3.59771549E-03	1.86573825E+01	1.16169524E+01	1.22560564E+03	-1.88759618E-03	-4.67516771E-01	
3.79282835E-03	1.96692177E+01	1.18458713E+01	1.12304969E+03	-1.92820325E-03	-5.03678485E-01	
3.99189833E-03	2.07015741E+01	1.20600510E+01	1.03067330E+03	-1.96625973E-03	-5.39657865E-01	
4.19492461E-03	2.17544476E+01	1.22606867E+01	9.47503102E+02	-2.00192860E-03	-5.75283844E-01	
4.40190641E-03	2.28278339E+01	1.24488934E+01	8.72627997E+02	-2.03537402E-03	-6.10402852E-01	
4.61284290E-03	2.39217288E+01	1.26257055E+01	8.05207327E+02	-2.06675570E-03	-6.44879162E-01	
4.82773323E-03	2.50361280E+01	1.27920779E+01	7.44473637E+02	-2.09622329E-03	-6.78594790E-01	
5.04657656E-03	2.61710270E+01	1.29488897E+01	6.89731799E+02	-2.12391536E-03	-7.11449039E-01	
5.26937202E-03	2.73264213E+01	1.30969480E+01	6.40355798E+02	-2.14996508E-03	-7.43357732E-01	
5.49611872E-03	2.85023064E+01	1.32369928E+01	5.95784140E+02	-2.17450929E-03	-7.74252209E-01	
5.72681576E-03	2.96986775E+01	1.33697019E+01	5.55514486E+02	-2.19769124E-03	-8.04078166E-01	
5.96146222E-03	3.09155299E+01	1.34956957E+01	5.19098072E+02	-2.21964955E-03	-8.32794438E-01	
6.20005718E-03	3.21528589E+01	1.36155416E+01	4.86134231E+02	-2.24050244E-03	-8.60371794E-01	
6.44259968E-03	3.34106593E+01	1.37297586E+01	4.56265236E+02	-2.26034202E-03	-8.86791780E-01	
6.68908877E-03	3.46889264E+01	1.38388210E+01	4.29171625E+02	-2.27923545E-03	-9.12045561E-01	
6.93952345E-03	3.59876549E+01	1.39431623E+01	4.04567938E+02	-2.29722294E-03	-9.36132688E-01	
7.19390275E-03	3.73068397E+01	1.40431787E+01	3.82198844E+02	-2.31431168E-03	-9.59059918E-01	
7.45222564E-03	3.86464757E+01	1.41392317E+01	3.61835828E+02	-2.33047086E-03	-9.80840247E-01	
7.71449110E-03	4.00065574E+01	1.42316514E+01	3.43274253E+02	-2.34564913E-03	-1.00149211E+00	
7.98069809E-03	4.13870794E+01	1.43207386E+01	3.26330688E+02	-2.35981313E-03	-1.02103864E+00	
8.25084555E-03	4.27880364E+01	1.44067676E+01	3.10840723E+02	-2.37297180E-03	-1.03950687E+00	
8.52493241E-03	4.42094227E+01	1.44899883E+01	2.96657175E+02	-2.38518805E-03	-1.05692711E+00	
8.80295758E-03	4.56512326E+01	1.45706280E+01	2.83648281E+02	-2.39657252E-03	-1.07333219E+00	
9.08491996E-03	4.71134605E+01	1.46488936E+01	2.71695910E+02	-2.40724267E-03	-1.08875694E+00	
9.37081842E-03	4.85961005E+01	1.47249733E+01	2.60694047E+02	-2.41728396E-03	-1.10323771E+00	
9.66065183E-03	5.00991468E+01	1.47990378E+01	2.50547650E+02	-2.42674685E-03	-1.11681205E+00	
9.95441904E-03	5.16225933E+01	1.48712424E+01	2.41171561E+02	-2.43566066E-03	-1.12951842E+00	
1.02521189E-02	5.31664341E+01	1.49417276E+01	2.32489479E+02	-2.44402344E-03	-1.14139586E+00	
1.05537502E-02	5.47306629E+01	1.50106211E+01	2.24433087E+02	-2.45178168E-03	-1.15248366E+00	
1.08593117E-02	5.63152737E+01	1.50780385E+01	2.16941202E+02	-2.45884947E-03	-1.16282108E+00	
1.11688023E-02	5.79202600E+01	1.51440845E+01	2.09959086E+02	-2.46514632E-03	-1.17244701E+00	
1.14822207E-02	5.95456155E+01	1.52088541E+01	2.03437875E+02	-2.47061715E-03	-1.18139968E+00	
1.17995656E-02	6.11913338E+01	1.52724330E+01	1.97333908E+02	-2.47525820E-03	-1.18971646E+00	
1.21208359E-02	6.28574083E+01	1.53348993E+01	1.91608154E+02	-2.47914435E-03	-1.19743366E+00	
1.24460302E-02	6.45438324E+01	1.53963234E+01	1.86225845E+02	-2.48240435E-03	-1.20458648E+00	
1.27751472E-02	6.62505994E+01	1.54567693E+01	1.81155956E+02	-2.48514944E-03	-1.21120881E+00	
1.31081856E-02	6.79777025E+01	1.55162953E+01	1.76370590E+02	-2.48743060E-03	-1.21733309E+00	
1.34451442E-02	6.97251349E+01	1.55749539E+01	1.71844545E+02	-2.48926763E-03	-1.22299025E+00	
1.37860215E-02	7.14928895E+01	1.56327929E+01	1.67555175E+02	-2.49070706E-03	-1.22820978E+00	
1.41308162E-02	7.32809595E+01	1.56898556E+01	1.63482295E+02	-2.49183754E-03	-1.23301997E+00	
1.44795270E-02	7.50893377E+01	1.57461814E+01	1.59607970E+02	-2.49275282E-03	-1.23744792E+00	
1.48321524E-02	7.69180169E+01	1.58018059E+01	1.55916267E+02	-2.49352149E-03	-1.24151934E+00	
1.51886911E-02	7.87669898E+01	1.58567621E+01	1.52392853E+02	-2.49421901E-03	-1.24525845E+00	
1.55491416E-02	8.06362492E+01	1.59110795E+01	1.49024771E+02	-2.49497545E-03	-1.24868807E+00	
1.59135025E-02	8.25257875E+01	1.59647857E+01	1.45800368E+02	-2.49599309E-03	-1.25182975E+00	
