"GradU:0","GradU:1","GradU:2","GradU:3","GradU:4","GradU:5","GradU:6","GradU:7","GradU:8","Points:0","Points:1","Points:2","Vorticity:0","Vorticity:1","Vorticity:2","density","minimum_distance_to_wall","pressure","pressure_force_:0","pressure_force_:1","pressure_force_:2","specific_dissipation_rate","sst_f_one_blending","tau_wall","turbulent_ke","turbulent_viscosity","velocity_:0","velocity_:1","velocity_:2","viscous_force_:0","viscous_force_:1","viscous_force_:2","yplus"
0,397.337,0,0,-1.38261e-08,0,0,2.72501e-08,0,4,0,1.5,2.72501e-08,0,-397.337,1,0.00253,1.65056e-08,0,0,0,318705,0,0,0,0,0,0,0,0,0,0,0
-1.13716e-09,396.762,0,1.17719e-11,-1.30095e-08,0,4.43166e-10,2.41578e-08,0,4,0.00253,1.5,2.41578e-08,-4.43166e-10,-396.762,1,0.00253019,1.65116e-08,0,0,0,36431.6,1,0,0.00145788,4.00172e-08,1.00526,-3.49801e-11,6.89428e-11,0,0,0,0
-2.06601e-09,394.948,0,1.94842e-11,-1.15357e-08,0,7.43913e-10,1.76855e-08,0,4,0.00521411,1.5,1.76855e-08,-7.43913e-10,-394.948,1,0.00521453,1.65156e-08,0,0,0,9893.35,1,0,0.0161007,1.62744e-06,2.06867,-6.77071e-11,1.25485e-10,0,0,0,0
-2.7195e-09,389.497,0,2.40034e-11,-1.02914e-08,0,9.24989e-10,1.06476e-08,0,4,0.00806126,1.5,1.06476e-08,-9.24989e-10,-389.497,1,0.00806195,1.65183e-08,0,0,0,4149.97,1,0,0.0749288,1.80554e-05,3.18962,-9.868e-11,1.66215e-10,0,0,0,0
-3.03913e-09,373.817,0,2.67605e-11,-9.05566e-09,0,1.03355e-09,3.216e-09,0,4,0.0110808,1.5,3.216e-09,-1.03355e-09,-373.817,1,0.0110819,1.65201e-08,0,0,0,2262.63,1,0,0.222366,9.82787e-05,4.35302,-1.27983e-10,1.87321e-10,0,0,0,0
-2.97634e-09,341.808,0,3.0285e-11,-7.69153e-09,0,1.12554e-09,-3.87221e-09,0,4,0.0142827,1.5,-3.87221e-09,-1.12554e-09,-341.808,1,0.0142841,1.6522e-08,0,0,0,1468.96,1,0,0.486184,0.000330973,5.51322,-1.54901e-10,1.85535e-10,0,0,0,0
-2.569e-09,296.135,0,3.75055e-11,-6.32222e-09,0,1.23979e-09,-9.45163e-09,0,4,0.0176773,1.5,-9.45163e-09,-1.23979e-09,-296.135,1,0.0176791,1.65232e-08,0,0,0,1063.12,1,0,0.8342,0.00078468,6.60378,-1.78582e-10,1.61139e-10,0,0,0,0
-1.95832e-09,247.465,0,4.99148e-11,-5.18792e-09,0,1.38293e-09,-1.28541e-08,0,4,0.0212754,1.5,-1.28541e-08,-1.38293e-09,-247.465,1,0.0212777,1.65236e-08,0,0,0,818.641,1,0,1.19338,0.00145777,7.57888,-1.98977e-10,1.18982e-10,0,0,0,0
-1.17717e-09,204.814,0,6.50951e-11,-4.37096e-09,0,1.54125e-09,-1.4271e-08,0,4,0.0250884,1.5,-1.4271e-08,-1.54125e-09,-204.814,1,0.0250913,1.65223e-08,0,0,0,654.151,1,0,1.51215,0.00229494,8.43271,-2.16927e-10,6.5631e-11,0,0,0,0
-3.79598e-10,170.504,0,7.78596e-11,-3.77006e-09,0,1.69773e-09,-1.42054e-08,0,4,0.0291283,1.5,-1.42054e-08,-1.69773e-09,-170.504,1,0.0291318,1.65191e-08,0,0,0,535.539,1,0,1.77599,0.00323732,9.18292,-2.33226e-10,6.85001e-12,0,0,0,0
2.47981e-10,143.018,0,8.42383e-11,-3.22357e-09,0,1.83771e-09,-1.31029e-08,0,4,0.0334075,1.5,-1.31029e-08,-1.83771e-09,-143.018,1,0.0334117,1.65168e-08,0,0,0,446.055,1,0,1.98887,0.00432166,9.84751,-2.48227e-10,-5.24623e-11,0,0,0,0
6.09213e-10,120.816,0,8.46614e-11,-2.65176e-09,0,1.95064e-09,-1.139e-08,0,4,0.037939,1.5,-1.139e-08,-1.95064e-09,-120.816,1,0.0379441,1.65176e-08,0,0,0,376.59,1,0,2.15742,0.00554889,10.4399,-2.61557e-10,-1.08405e-10,0,0,0,0
7.42774e-10,102.893,0,7.45413e-11,-2.09059e-09,0,2.03092e-09,-9.42366e-09,0,4,0.0427365,1.5,-9.42366e-09,-2.03092e-09,-102.893,1,0.0427425,1.6522e-08,0,0,0,321.589,1,0,2.28944,0.00691309,10.972,-2.72888e-10,-1.58466e-10,0,0,0,0
7.25364e-10,88.3814,0,5.76061e-11,-1.63769e-09,0,2.07711e-09,-7.42581e-09,0,4,0.0478141,1.5,-7.42581e-09,-2.07711e-09,-88.3814,1,0.0478212,1.65301e-08,0,0,0,277.367,1,0,2.39215,0.00840801,11.4537,-2.82125e-10,-2.01181e-10,0,0,0,0
6.70143e-10,76.5598,0,3.54361e-11,-1.41505e-09,0,2.09096e-09,-5.53817e-09,0,4,0.0531865,1.5,-5.53817e-09,-2.09096e-09,-76.5598,1,0.0531948,1.65391e-08,0,0,0,241.344,1,0,2.47157,0.0100273,11.8936,-2.89949e-10,-2.35775e-10,0,0,0,0
6.91281e-10,66.8532,0,1.49781e-11,-1.48955e-09,0,2.07692e-09,-3.86714e-09,0,4,0.0588691,1.5,-3.86714e-09,-2.07692e-09,-66.8532,1,0.0588787,1.65474e-08,0,0,0,211.657,1,0,2.5325,0.0117648,12.2985,-2.97756e-10,-2.62126e-10,0,0,0,0
8.63867e-10,58.8136,0,5.63947e-12,-1.84221e-09,0,2.04135e-09,-2.48357e-09,0,4,0.0648777,1.5,-2.48357e-09,-2.04135e-09,-58.8136,1,0.0648888,1.65512e-08,0,0,0,186.93,0.999998,0,2.57863,0.0136151,12.6738,-3.07401e-10,-2.80735e-10,0,0,0,0
1.16758e-09,52.095,0,1.52e-11,-2.35144e-09,0,1.99188e-09,-1.41648e-09,0,4,0.0712288,1.5,-1.41648e-09,-1.99188e-09,-52.095,1,0.0712416,1.65515e-08,0,0,0,166.133,0.99995,0,2.61277,0.015573,13.0241,-3.20606e-10,-2.92612e-10,0,0,0,0
1.48462e-09,46.4308,0,4.80153e-11,-2.82216e-09,0,1.93652e-09,-6.54126e-10,0,4,0.0779393,1.5,-6.54126e-10,-1.93652e-09,-46.4308,1,0.077954,1.65511e-08,0,0,0,148.484,0.999985,0,2.63708,0.0176338,13.3531,-3.38212e-10,-2.99074e-10,0,0,0,0
1.64115e-09,41.6151,0,1.04193e-10,-3.03901e-09,0,1.88269e-09,-1.46887e-10,0,4,0.0850269,1.5,-1.46887e-10,-1.88269e-09,-41.6151,1,0.0850437,1.65573e-08,0,0,0,133.382,0.999995,0,2.65321,0.019793,13.6638,-3.59621e-10,-3.01521e-10,0,0,0,0
1.46306e-09,37.488,0,1.80319e-10,-2.82624e-09,0,1.83604e-09,1.86342e-10,0,4,0.0925094,1.5,1.86342e-10,-1.83604e-09,-37.488,1,0.0925285,1.65787e-08,0,0,0,120.361,0.999998,0,2.66241,0.0220466,13.9586,-3.82498e-10,-3.01135e-10,0,0,0,0
8.64732e-10,33.9246,0,2.708e-10,-2.10545e-09,0,1.79925e-09,4.41798e-10,0,4,0.100405,1.5,4.41798e-10,-1.79925e-09,-33.9246,1,0.100427,1.66229e-08,0,0,0,109.056,0.999999,0,2.66565,0.0243903,14.2395,-4.02989e-10,-2.986e-10,0,0,0,0
-1.11274e-10,30.8265,0,3.68996e-10,-9.2929e-10,0,1.77146e-09,7.11903e-10,0,4,0.108734,1.5,7.11903e-10,-1.77146e-09,-30.8265,1,0.108759,1.6692e-08,0,0,0,99.1773,1,0,2.66368,0.0268199,14.5083,-4.16447e-10,-2.93915e-10,0,0,0,0
-1.29722e-09,28.1156,0,4.69033e-10,5.11556e-10,0,1.74825e-09,1.06203e-09,0,4,0.117514,1.5,1.06203e-09,-1.74825e-09,-28.1156,1,0.117542,1.67799e-08,0,0,0,90.4937,1,0,2.65706,0.0293312,14.7663,-4.18578e-10,-2.86353e-10,0,0,0,0
-2.4399e-09,25.7292,0,5.67538e-10,1.917e-09,0,1.72273e-09,1.51414e-09,0,4,0.126766,1.5,1.51414e-09,-1.72273e-09,-25.7292,1,0.126797,1.68686e-08,0,0,0,82.8188,1,0,2.64625,0.0319195,15.0147,-4.06866e-10,-2.7467e-10,0,0,0,0
