            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          10.803         17539.6        -226.424    -1.06829e-16         309.181        -5.13799      -0.0590114         4061.42          214219        -7.05792        0.077523         1.77728
          10.806           16698         434.631    -1.07999e-16         309.308        -5.69017      -0.0588584        -3880.62          204120       -0.659993       0.0522884           1.779
          10.809         16679.2         813.803    -1.11521e-16         309.428        -6.20504      -0.0586771        -8428.83          203893         2.78367       0.0273472         1.78038
          10.812           16708         1149.96    -1.13335e-16         309.545         -6.6782      -0.0584621          -12461          204238          5.4938       0.0575021         1.78138
          10.815         16700.7         1479.07    -1.14377e-16         309.657        -7.10499      -0.0582096        -16409.9          204149         7.81215       0.0468944         1.78203
          10.818         16687.5         1805.45    -1.15079e-16         309.761        -7.48322      -0.0579183          -20327          203989         9.75409       0.0287141         1.78234
          10.821         16675.5         2129.07    -1.15455e-16         309.858        -7.81297      -0.0575875        -24212.1          203844         11.3507       0.0209002         1.78236
          10.824         16665.3          2450.1    -1.15811e-16         309.947        -8.09601      -0.0572216        -28066.8          203720         12.6494        0.014452          1.7822
          10.827         16656.7         2768.57    -1.16082e-16         310.028        -8.33523      -0.0568249        -31891.8          203615         13.6981       0.0105937         1.78181
           10.83         16649.6         3084.23    -1.16326e-16         310.103        -8.53418      -0.0564028        -35684.2          203529         14.5404       0.0172039         1.78123
          10.833           16644         3397.02    -1.16625e-16         310.172        -8.69672      -0.0559608        -39442.9          203461         15.2157       0.0140225         1.78052
          10.836         16639.8         3706.85    -1.16919e-16         310.236        -8.82667      -0.0555042        -43167.1          203408         15.7577       0.0416782         1.77969
          10.839         16636.9         4013.53    -1.17197e-16         310.296        -8.92759      -0.0550384        -46854.5          203371         16.1935       0.0580877         1.77878
          10.842         16635.5         4317.02    -1.17449e-16         310.353        -9.00261       -0.054569        -50504.1          203351         16.5461       0.0462911         1.77782
          10.845         16635.3         4617.35    -1.17621e-16         310.408        -9.05445      -0.0540987        -54116.2          203347         16.8339       0.0261588         1.77681
          10.848         16636.3          4914.4    -1.17715e-16          310.46        -9.08546      -0.0536301        -57689.5          203357         17.0713       0.0483012         1.77578
          10.851         16638.4         5208.02    -1.17733e-16          310.51        -9.09768      -0.0531661        -61222.7          203380         17.2693       0.0291634         1.77473
          10.854         16641.5         5498.03    -1.17716e-16         310.559        -9.09287      -0.0527097        -64713.4          203415         17.4364       0.0326113         1.77368
          10.857         16645.5         5784.26    -1.17675e-16         310.607        -9.07256      -0.0522634        -68159.4          203462         17.5794       0.0514351         1.77263
           10.86         16650.6         6066.67    -1.17582e-16         310.653        -9.03808      -0.0518293          -71560          203520         17.7039       0.0660405          1.7716
          10.863         16656.6         6345.13    -1.17466e-16         310.699        -8.99058      -0.0514088        -74913.9          203590          17.814        0.058425         1.77059
          10.866         16663.6         6619.58    -1.17306e-16         310.744        -8.93101      -0.0510035          -78220          203672         17.9127       0.0465598          1.7696
          10.869         16671.6            6890    -1.17052e-16         310.788        -8.86012      -0.0506135        -81478.1          203765         18.0027       0.0342834         1.76863
          10.872         16680.6          7156.3    -1.16724e-16         310.831        -8.77855      -0.0502387        -84687.3          203871          18.085       0.0207132         1.76769
          10.875         16690.4         7418.32    -1.16322e-16         310.874        -8.68679        -0.04988        -87845.7          203986         18.1602      0.00813305         1.76678
          10.878         16701.1         7675.94    -1.15805e-16         310.916        -8.58531      -0.0495373        -90952.1          204113         18.2286       0.0107057         1.76588
          10.881         16712.7         7929.05    -1.15197e-16         310.957        -8.47447      -0.0492105        -94004.8          204250         18.2903       0.0120849         1.76501
          10.884         16725.1         8177.64    -1.14532e-16         310.997        -8.35463      -0.0488996        -97003.8          204396         18.3456      0.00748578         1.76415
          10.887         16738.4         8421.57    -1.13839e-16         311.037        -8.22613      -0.0486057        -99947.6          204553         18.3943       0.0158138          1.7633
           10.89         16752.7         8660.75    -1.13172e-16         311.075        -8.08924      -0.0483294         -102835          204722         18.4361          0.0298         1.76247
          10.893         16767.9         8895.16    -1.12464e-16         311.113        -7.94427      -0.0480688         -105665          204902         18.4711       0.0416831         1.76164
