            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          31.803         17650.8         7978.16    -4.51035e-17         349.669         19.6589       -0.140294          -79052          208046        -33.2796       0.0224525          1.8925
          31.806         17609.2         7751.46    -4.45809e-17         349.662         19.6165       -0.120603        -76501.4          207628        -33.9425       0.0223536         1.89228
          31.809         17574.8          7496.2    -4.42098e-17         349.656         19.5675       -0.100503        -73612.2          207287        -34.7631       0.0256354         1.89202
          31.812         17537.4         7234.66    -4.38512e-17          349.65          19.512      -0.0800472        -70650.1          206913        -35.6049       0.0349808         1.89174
          31.815           17499         6970.83    -4.34942e-17         349.643           19.45      -0.0592983        -67664.8          206529        -36.4487       0.0428085         1.89145
          31.818         17461.4         6705.75     -4.3144e-17         349.636         19.3818      -0.0383286        -64669.3          206157        -37.2901       0.0493649         1.89113
          31.821         17423.8         6439.67     -4.2801e-17         349.627         19.3074      -0.0172153        -61666.3          205788        -38.1279       0.0525993         1.89081
          31.824         17386.7         6172.38    -4.24599e-17         349.618         19.2269      0.00395748        -58653.6          205427        -38.9629       0.0435372         1.89047
          31.827         17349.9         5904.32    -4.21252e-17         349.607         19.1405       0.0250956        -55636.1          205074         -39.793       0.0387054         1.89012
           31.83         17313.6         5635.45    -4.17934e-17         349.595         19.0481       0.0461004        -52613.6          204729        -40.6184       0.0293552         1.88976
          31.833         17277.8         5365.67     -4.1467e-17         349.583         18.9501       0.0668685        -49584.9          204394        -41.4392       0.0401817         1.88939
          31.836         17242.2            5095    -4.11416e-17         349.569         18.8463       0.0872911          -46550          204063         -42.255       0.0369867           1.889
          31.839         17207.6         4823.72    -4.08217e-17         349.555          18.737        0.107255        -43512.4          203747        -43.0648       0.0246775          1.8886
          31.842         17173.2         4551.78     -4.0505e-17         349.541         18.6222        0.126645        -40471.1          203438        -43.8686        0.024029         1.88818
          31.845         17139.5         4279.19    -4.01922e-17         349.526         18.5021         0.14535        -37426.9          203139        -44.6661       0.0368302         1.88775
          31.848         17106.3         4006.02    -3.98815e-17         349.511         18.3767        0.163257        -34380.7          202851         -45.457       0.0471875         1.88729
          31.851         17074.1         3732.42    -3.95747e-17         349.495         18.2461        0.180258        -31333.8          202578        -46.2407       0.0355338         1.88682
          31.854         17042.2         3458.32     -3.9271e-17         349.479         18.1105        0.196249        -28285.6          202312        -47.0174       0.0156773         1.88633
          31.857           17011         3183.87    -3.89714e-17         349.463         17.9699        0.211132        -25237.5          202056        -47.7866       0.0345271         1.88582
           31.86         16980.6          2909.2    -3.86734e-17         349.446         17.8244        0.224818        -22191.8          201813        -48.5478       0.0423201          1.8853
          31.863           16951         2634.39    -3.83803e-17         349.429         17.6741        0.237231        -19149.4          201584        -49.3007       0.0391348         1.88475
          31.866         16921.8         2359.27    -3.80874e-17         349.412         17.5191        0.248305        -16107.8          201360         -50.046       0.0378045         1.88419
          31.869         16893.8         2084.17    -3.78003e-17         349.394         17.3595        0.257982        -13071.3          201155        -50.7825       0.0388416         1.88361
          31.872         16866.4         1809.02    -3.75148e-17         349.376         17.1953        0.266217        -10038.9          200959        -51.5105        0.040308         1.88302
          31.875         16839.8         1533.99    -3.72336e-17         349.358         17.0267        0.272972        -7012.73          200774        -52.2292        0.034036         1.88241
          31.878           16814         1259.09    -3.69539e-17          349.34         16.8537        0.278225        -3992.71          200601         -52.939       0.0279302         1.88178
          31.881         16789.2         984.668    -3.66794e-17         349.321         16.6764        0.281961        -982.661          200440        -53.6381       0.0254244         1.88114
          31.884         16765.4          710.58    -3.64085e-17         349.302          16.495        0.284173         2018.88          200293        -54.3273       0.0220298         1.88048
          31.887         16742.2           436.8    -3.61399e-17         349.283         16.3094         0.28486          5011.8          200154        -55.0069       0.0197841         1.87981
           31.89         16719.9         163.709    -3.58782e-17         349.264         16.1199        0.284029         7992.85          200027         -55.675       0.0232333         1.87912
          31.893         16698.6        -108.888    -3.56177e-17         349.245         15.9265        0.281688         10963.4          199911        -56.3328       0.0268714         1.87843
          31.896         16678.1         -380.46    -3.53632e-17         349.225         15.7293        0.277851         13918.3          199807        -56.9782       0.0268604         1.87771
          31.899         16658.6         -651.21    -3.51138e-17         349.206         15.5284         0.27254         16859.5          199714        -57.6121       0.0341862         1.87699
          31.902         16640.3        -920.892    -3.48676e-17         349.187         15.3239        0.265782         19784.2          199633        -58.2339       0.0411166         1.87625
          31.905         16622.5         -1189.5    -3.46252e-17         349.167         15.1158        0.257604         22691.9          199558        -58.8436       0.0348944          1.8755
          31.908           16606        -1456.78    -3.43911e-17         349.148         14.9043        0.248041         25581.6          199499        -59.4408       0.0243911         1.87474
          31.911         16590.3        -1722.74    -3.41607e-17         349.129         14.6895        0.237129         28451.7          199447        -60.0256       0.0153236         1.87396
          31.914         16575.9         -1986.9    -3.39391e-17          349.11         14.4715        0.224914         31298.2          199408        -60.5964       0.0273513         1.87318
          31.917         16562.1        -2249.56    -3.37207e-17         349.091         14.2503        0.211444         34123.7          199375        -61.1549       0.0304259         1.87238
           31.92         16549.5        -2510.21    -3.35098e-17         349.073          14.026        0.196774         36922.8          199352        -61.6992       0.0307751         1.87157
          31.923         16537.8           -2769    -3.33051e-17         349.054         13.7987        0.180968         39697.1          199338        -62.2303       0.0462824         1.87075
          31.926         16527.2        -3025.67     -3.3108e-17         349.036         13.5685          0.1641         42444.1          199335        -62.7476       0.0396754         1.86992
          31.929         16517.5        -3280.11    -3.29174e-17         349.018         13.3356        0.146254         45162.5          199338        -63.2508       0.0318578         1.86908
          31.932         16508.6        -3532.08    -3.27342e-17             349         13.0999         0.12753           47850          199348        -63.7394       0.0216443         1.86823
          31.935         16500.9        -3781.51    -3.25594e-17         348.982         12.8617        0.108044         50505.4          199368        -64.2134       0.0117869         1.86737
          31.938         16494.1        -4028.16    -3.23921e-17         348.964         12.6209       0.0879186         53126.5          199395        -64.6718        0.023037          1.8665
          31.941         16488.2        -4272.09    -3.22324e-17         348.947         12.3777       0.0672954         55713.9          199426        -65.1155       0.0340102         1.86561
          31.944         16483.2        -4513.05    -3.20817e-17          348.93         12.1322       0.0463306         58264.7          199465        -65.5436       0.0409003         1.86472
          31.947         16479.2        -4750.86    -3.19403e-17         348.914         11.8844        0.025194         60777.7          199512        -65.9556       0.0222221         1.86382
           31.95         16475.9        -4985.46    -3.18083e-17         348.898         11.6345      0.00406896         63251.3          199562        -66.3517        0.032068         1.86291
          31.953         16473.5        -5216.55    -3.16865e-17         348.882         11.3823      -0.0168481         65682.7          199620        -66.7311       0.0284239         1.86199
          31.956         16471.9        -5444.14    -3.15728e-17         348.867          11.128      -0.0373525           68072          199681        -67.0942       0.0215811         1.86106
          31.959         16471.2        -5668.01    -3.14722e-17         348.852         10.8716      -0.0572338         70417.3          199748        -67.4407       0.0175102         1.86012
          31.962         16471.2        -5888.05      -3.138e-17         348.838         10.6131      -0.0762814         72716.9          199820        -67.7707       0.0238095         1.85917
          31.965           16472         -6104.3    -3.12988e-17         348.824         10.3525      -0.0942961         74971.3          199895        -68.0848       0.0307585         1.85822
          31.968         16473.4        -6316.49    -3.12281e-17          348.81         10.0898       -0.111088         77177.3          199975        -68.3827        0.036682         1.85725
          31.971         16475.6        -6524.33    -3.11683e-17         348.797         9.82507       -0.126479         79332.5          200058        -68.6636       0.0148618         1.85638
          31.974         16478.3        -6728.16    -3.11179e-17         348.784         9.55822       -0.140316         81440.2          200144        -68.9294       0.0386834          1.8556
          31.977         16481.6        -6927.57    -3.10797e-17         348.771         9.28928       -0.152474         83495.9          200233        -69.1791       0.0409529         1.85481
           31.98         16485.7         -7122.6    -3.10507e-17         348.759         9.01822       -0.162846         85500.6          200326        -69.4135       0.0424758         1.85401
          31.983         16490.2        -7313.08    -3.10338e-17         348.747         8.74503       -0.171342           87452          200421        -69.6324        0.046203         1.85321
          31.986         16495.1         -7498.9    -3.10247e-17         348.735          8.4697       -0.177899           89349          200516        -69.8359        0.043097          1.8524
          31.989         16500.7        -7680.08    -3.10253e-17         348.723         8.19224       -0.182482         91191.6          200616        -70.0247       0.0540834         1.85159
          31.992         16506.5        -7856.42     -3.1037e-17         348.711         7.91266       -0.185077         92979.3          200716        -70.1982       0.0585494         1.85077
          31.995         16513.2        -8028.01    -3.10576e-17           348.7         7.63099       -0.185683         94712.2          200822        -70.3575       0.0493272         1.84994
          31.998         16520.1        -8194.77    -3.10845e-17         348.689         7.34726       -0.184319           96389          200927        -70.5024       0.0570844         1.84911
          32.001         16527.5         -8356.6    -3.11205e-17         348.678         7.06152       -0.181022           98009          201034        -70.6329       0.0510943         1.84828
          32.004         16535.3        -8513.43    -3.11646e-17         348.667         6.77382       -0.175847         99571.7          201144        -70.7488       0.0450088         1.84744
          32.007         16543.5        -8665.31    -3.12173e-17         348.656         6.48428       -0.168854          101078          201256        -70.8505       0.0395133         1.84659
           32.01         16552.3        -8812.21    -3.12762e-17         348.646         6.19299       -0.160121          102527          201372        -70.9379       0.0364687         1.84575
          32.013         16561.2        -8954.07    -3.13403e-17         348.637         5.90008       -0.149734          103919          201486        -71.0109       0.0378331          1.8449
          32.016         16570.7         -9090.7     -3.1414e-17         348.627         5.60571       -0.137787          105251          201606        -71.0686       0.0417353         1.84404
          32.019         16580.8         -9222.4    -3.14925e-17         348.619         5.31007        -0.12438          106528          201729        -71.1121       0.0369195         1.84318
          32.022         16590.9        -9348.91    -3.15766e-17          348.61         5.01336       -0.109619          107745          201850          -71.14       0.0270584         1.84232
          32.025         16601.5        -9470.49    -3.16667e-17         348.603         4.71579      -0.0936107          108908          201976        -71.1534       0.0142117         1.84146
          32.028         16612.7        -9586.68    -3.17643e-17         348.595          4.4176       -0.076467          110009          202106        -71.1501       0.0241284          1.8406
          32.031           16624        -9697.91    -3.18643e-17         348.589         4.11905         -0.0583          111055          202234        -71.1316       0.0343642         1.83973
          32.034         16636.1        -9803.93    -3.19716e-17         348.583         3.82039      -0.0392259          112043          202369        -71.0967       0.0421932         1.83887
          32.037         16648.3        -9904.84    -3.20829e-17         348.577         3.52189      -0.0193599          112973          202506        -71.0454       0.0274096           1.838
           32.04         16660.9        -10000.5    -3.21992e-17         348.573         3.22381      0.00118583          113846          202644        -70.9771       0.0237468         1.83713
          32.043         16674.2        -10091.1     -3.2322e-17         348.568          2.9264       0.0223059          114662          202789        -70.8918        0.042399         1.83626
          32.046         16687.4        -10176.5    -3.24491e-17         348.565         2.62989       0.0438941          115420          202930        -70.7893       0.0429382         1.83538
          32.049         16701.4        -10256.9     -3.2583e-17         348.562         2.33452       0.0658466          116123          203081        -70.6698       0.0265523         1.83451
          32.052         16715.6          -10332    -3.27214e-17          348.56          2.0405       0.0880622          116768          203232        -70.5324       0.0234379         1.83364
          32.055         16730.3          -10402    -3.28675e-17         348.558         1.74804        0.110442          117357          203387        -70.3775       0.0108476         1.83277
          32.058         16745.2        -10466.9    -3.30161e-17         348.556         1.45733        0.132892          117889          203545        -70.2053       0.0282636         1.83189
          32.061         16760.4        -10526.7    -3.31709e-17         348.556         1.16856        0.155317          118367          203703         -70.016       0.0386117         1.83102
          32.064         16775.8        -10581.4     -3.3332e-17         348.556        0.881884        0.177625          118789          203864        -69.8091       0.0468455         1.83017
          32.067         16791.7        -10630.8    -3.34991e-17         348.556        0.597496        0.199724          119153          204030        -69.5841       0.0419829         1.82933
           32.07         16807.7        -10675.3    -3.36702e-17         348.557        0.315561        0.221533          119464          204196        -69.3429       0.0368695          1.8285
          32.073           16824        -10714.7    -3.38471e-17         348.559         0.03623        0.242978          119719          204366        -69.0843        0.032539         1.82767
          32.076         16840.4          -10749    -3.40284e-17         348.561       -0.240352        0.263988          119920          204538         -68.809       0.0260257         1.82683
          32.079           16857        -10778.3     -3.4216e-17         348.563       -0.514049        0.284502          120067          204710        -68.5167       0.0324963         1.82638
          32.082         16873.6        -10802.6    -3.44052e-17         348.566        -0.78475         0.30447          120161          204883        -68.2081       0.0364489         1.82666
          32.085         16890.3        -10821.9    -3.46011e-17          348.57        -1.05234        0.323849          120201          205059         -67.883       0.0307482         1.82692
          32.088         16907.1        -10836.2    -3.47996e-17         348.574        -1.31675        0.342607          120187          205235        -67.5414       0.0419559         1.82718
          32.091         16923.6        -10845.7    -3.50029e-17         348.578        -1.57793        0.360724          120124          205409        -67.1845       0.0360756         1.82743
          32.094         16940.3        -10850.2    -3.52104e-17         348.583        -1.83583        0.378205          120007          205585        -66.8118       0.0369472         1.82768
          32.097         16956.6        -10849.7    -3.54215e-17         348.587        -2.09043        0.395076          119838          205759        -66.4235       0.0321173         1.82792
