            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          4000.4        0.726306         1.03446     6.30543e-20     -0.00525317       0.0120164    -4.70551e-14        -2.35457         1.62237         -1.1829       0.0685272         1.02127
          4000.8        0.725823         1.03753     6.30524e-20     -0.00525804        0.012002    -5.64796e-13        -2.36144         1.62127        -1.16949       0.0684517         1.02113
          4001.2        0.725952         1.04336      6.3062e-20     -0.00526933        0.011976    -3.59103e-15        -2.37451         1.62153        -1.15013       0.0684009         1.02092
          4001.6        0.726658         1.05277      6.3077e-20     -0.00528528       0.0119382    -1.18297e-13        -2.39559         1.62309        -1.12145       0.0683726         1.02064
            4002        0.727612         1.06685     6.30819e-20     -0.00530382       0.0118896    -3.20868e-13        -2.42717         1.62519        -1.07748       0.0683596         1.02031
          4002.4        0.728405         1.08779     6.30452e-20       -0.005323       0.0118327       -2.79e-13        -2.47415         1.62694        -1.00696       0.0683437         1.01998
          4002.8        0.728742         1.11955     6.29123e-20     -0.00534103       0.0117716    -1.80409e-13        -2.54548         1.62765       -0.890746       0.0682937         1.01967
          4003.2        0.728502         1.16773     6.26088e-20     -0.00535646       0.0117115    -3.93624e-13        -2.65375         1.62708       -0.702685        0.065446         1.01941
          4003.6        0.727741         1.23593     6.20896e-20     -0.00536842       0.0116582     1.77811e-12        -2.80706         1.62534       -0.425929       0.0622701         1.01921
            4004        0.726659         1.30819     6.15751e-20     -0.00537686       0.0116175     1.25485e-12        -2.96957         1.62289       -0.131822       0.0612409         1.01907
          4004.4        0.725573         1.34163      6.1652e-20     -0.00538264       0.0115938     8.26723e-13        -3.04475         1.62043      -0.0132177       0.0626446         1.01899
          4004.8        0.724883         1.31573     6.26166e-20     -0.00538769       0.0115909      8.7299e-13        -2.98646         1.61886       -0.162675       0.0643342         1.01896
          4005.2        0.725058         1.25075      6.4232e-20     -0.00539499       0.0116114     8.79719e-13         -2.8403         1.61924       -0.489492        0.061206         1.01898
          4005.6        0.726619         1.15644     6.64199e-20     -0.00540861        0.011658     8.32404e-13        -2.62823         1.62272       -0.950222       0.0561535         1.01914
            4006         0.73014          1.0299     6.92923e-20     -0.00543349       0.0117333     1.53569e-13        -2.34368         1.63059        -1.55889       0.0481572         1.01962
          4006.4        0.736191        0.866778     7.29913e-20     -0.00547519       0.0118395     7.58416e-13        -1.97689         1.64411        -2.33562       0.0351756         1.02048
          4006.8        0.745227        0.655774     7.77488e-20     -0.00553945        0.011978     -1.7969e-13        -1.50244          1.6643        -3.33111      0.00465969         1.02195
          4007.2        0.757437         0.38254     8.38095e-20     -0.00563179       0.0121474    -2.83892e-13       -0.888046         1.69156        -4.60833       0.0373175         1.02428
          4007.6        0.772603       0.0258097     9.14634e-20     -0.00575743       0.0123423    -1.37449e-12      -0.0858418          1.7254        -6.25926       0.0518158         1.02775
            4008        0.790031        -0.44392     1.01046e-19     -0.00592161       0.0125528    -8.70618e-13        0.970575         1.76425        -8.41062       0.0607771         1.03253
          4008.4        0.808551        -1.06326     1.12921e-19     -0.00613024        0.012765     -1.2206e-12         2.36361         1.80545        -11.2188       0.0649538         1.03864
          4008.8        0.826674        -1.86947     1.27403e-19     -0.00639096       0.0129616    -1.11264e-12         4.17714         1.84564        -14.8416       0.0642017         1.04589
          4009.2        0.842804        -2.84798     1.44105e-19     -0.00671459        0.013124    -1.47804e-12         6.37842          1.8812        -19.2029       0.0580091         1.05386
          4009.6         0.85562        -3.88233     1.61321e-19     -0.00711709       0.0132332    -1.60802e-12         8.70546         1.90913        -23.7692       0.0448841         1.06186
            4010        0.864451        -4.77639     1.76398e-19     -0.00762046        0.013272    -1.56936e-12          10.717         1.92787        -27.6517       0.0088979          1.0692
          4010.4        0.869497        -5.24512     1.85629e-19     -0.00825118        0.013227    -1.13817e-12         11.7718          1.9378         -29.567       0.0504114          1.0753
          4010.8        0.871709        -5.22763     1.88336e-19     -0.00903235       0.0130902    -1.21645e-12         11.7327         1.94102        -29.2462       0.0711106         1.07982
          4011.2        0.872324        -4.88051     1.86735e-19     -0.00997096       0.0128596    -1.05894e-13         10.9522         1.94029        -27.4027        0.013647         1.08295
          4011.6         0.87225         -4.3832     1.83308e-19      -0.0110454       0.0125374     1.51974e-12           9.834         1.93771        -24.8525       0.0440147         1.08522
            4012        0.871707        -3.84992     1.79586e-19       -0.012205       0.0121256     1.87769e-12         8.63504         1.93388        -22.1156       0.0287492         1.08725
          4012.4        0.870075        -3.34491     1.76339e-19      -0.0133867       0.0116179     3.18706e-12         7.49991         1.92755        -19.4848       0.0175278         1.08951
          4012.8        0.866008        -2.89789     1.73775e-19      -0.0145266       0.0110001     3.89168e-12         6.49551         1.91583        -17.0953       0.0241693           1.092
          4013.2        0.857609        -2.52695     1.71798e-19      -0.0155637        0.010258     3.46597e-12         5.66257          1.8946        -15.0282       0.0489626         1.09448
          4013.6        0.842794        -2.25372     1.70303e-19      -0.0164397      0.00938773     3.35965e-12         5.04974          1.8593          -13.38       0.0127642         1.09639
            4014        0.820409        -2.09542     1.69195e-19      -0.0171022      0.00840044     1.17202e-12         4.69581         1.80744        -12.2304       0.0583372         1.09716
          4014.4        0.790456        -2.06812      1.6847e-19      -0.0175318      0.00731564     1.07847e-12          4.6368         1.73908        -11.6571       0.0110276         1.09664
          4014.8        0.754055        -2.18257       1.683e-19      -0.0177799      0.00614111     3.43017e-13         4.89696         1.65662        -11.7159       0.0262519         1.09474
          4015.2        0.713528        -2.42878     1.68912e-19      -0.0179793      0.00486727    -1.92631e-13         5.45381         1.56498        -12.3713       0.0329971         1.09152
          4015.6        0.671953        -2.75967     1.70136e-19      -0.0182682      0.00349609    -1.55089e-12         6.20139         1.47079        -13.4213       0.0349768         1.08722
            4016         0.63256        -3.04086     1.70569e-19      -0.0186978      0.00207119    -2.72454e-12         6.83727         1.38119        -14.2707       0.0170919         1.08239
          4016.4        0.598173        -3.04445     1.67557e-19      -0.0192145     0.000667533     -2.9874e-12         6.84851         1.30266         -13.902       0.0373881         1.07769
          4016.8        0.570442        -2.56898     1.58786e-19      -0.0197201    -0.000643656    -3.73599e-12         5.78166         1.23912        -11.4142        0.039633         1.07368
          4017.2         0.54885        -1.69476     1.45574e-19      -0.0201186     -0.00182492    -3.62385e-12         3.81731         1.18964        -7.16689       0.0299663         1.07097
          4017.6        0.529817       -0.705459     1.31659e-19      -0.0203287     -0.00288927    -4.11344e-12         1.59378         1.14635        -2.42255      0.00629136            1.07
            4018        0.506258        0.155737     1.19747e-19      -0.0202852     -0.00390247    -4.56042e-12       -0.341627         1.09344         1.75305        0.027283         1.07074
          4018.4        0.467716         0.83877     1.08913e-19      -0.0199393     -0.00496316    -4.39025e-12        -1.87606          1.0075         5.17325       0.0222054          1.0726
          4018.8        0.401289         1.34562     9.56387e-20      -0.0192716     -0.00616496    -3.45394e-12        -3.01378         0.85954         7.89061       0.0456505          1.0744
          4019.2        0.296172          1.6193     7.55194e-20      -0.0182815     -0.00756334    -3.47256e-12        -3.62641        0.625254         9.68707       0.0400367         1.07447
          4019.6        0.153199         1.63256     4.59665e-20      -0.0170011     -0.00916145    -3.40605e-12        -3.65265        0.306444         10.4387        0.023127         1.07878
            4020      -0.0119747         1.32145     1.38805e-20      -0.0155341       -0.010906    -2.85788e-12        -2.94872      -0.0618947         9.79996      0.00849375         1.08097
          4020.4       -0.173969        0.575417    -3.78004e-21      -0.0141301      -0.0126605     -3.9708e-12         -1.2662       -0.423223         7.18482       0.0115972         1.06939
          4020.8        -0.29349       -0.696032     4.41268e-21      -0.0131883      -0.0140061    -4.48474e-12         1.59758       -0.690026         2.05336      0.00426339         1.00995
          4021.2        -0.32484        -2.40593     3.33203e-20      -0.0128996      -0.0143078     -4.3917e-12         5.44553       -0.759914        -5.41274      0.00693336        0.903592
          4021.6       -0.259431        -3.99476     6.72112e-20       -0.012967      -0.0135295    -3.18897e-12         9.01864       -0.612896        -12.8786       0.0210722        0.885226
            4022       -0.123345         -4.2069     8.45983e-20       -0.012957      -0.0121672    -1.99594e-12          9.4929        -0.30668        -14.6267       0.0300476        0.879708
          4022.4       0.0488118        -2.47324     7.62484e-20       -0.012775      -0.0107343     1.31211e-12         5.58895       0.0810829         -7.8183      0.00386239          0.8878
          4022.8        0.220778         0.26018     5.41915e-20      -0.0125323     -0.00959665     4.14744e-12       -0.563813        0.468553         3.49514       0.0214345        0.922935
          4023.2        0.363136         2.39498     3.88487e-20      -0.0122921     -0.00890806     6.50897e-13        -5.36866        0.789398         12.2167       0.0120898        0.943716
          4023.6        0.450363          3.6691     3.13449e-20      -0.0119992     -0.00871445    -7.17548e-12        -8.23587        0.986318         17.2516      0.00640912        0.958488
            4024        0.452318         4.55918     1.96482e-20      -0.0114966     -0.00905912    -1.51816e-11        -10.2378        0.991848         20.8632      0.00294667        0.965354
          4024.4        0.341839         5.30153    -7.73232e-21      -0.0106366     -0.00998897    -1.17981e-11         -11.906        0.745204         24.2245       0.0264139        0.990671
          4024.8        0.115751         5.83213    -5.59379e-20     -0.00938832      -0.0114711     1.58113e-12        -13.0965        0.239315         27.0701       0.0169011         1.00767
          4025.2       -0.197634         6.00634    -1.18896e-19     -0.00787019      -0.0133091     1.23413e-11        -13.4843       -0.462385         28.6516      0.00974208         1.01901
          4025.6       -0.536508         5.68217    -1.70481e-19      -0.0063262      -0.0150346     1.39048e-11        -12.7511        -1.22138         28.1185       0.0022857         1.00049
            4026       -0.793345         4.84327    -1.89846e-19     -0.00506592      -0.0156386     2.95781e-11        -10.8622        -1.79643         25.0218      0.00773012        0.886556
          4026.4       -0.869632         3.65724    -1.88695e-19      -0.0041841      -0.0144219     5.09988e-11        -8.19635        -1.96609         19.5123      0.00935333        0.850689
          4026.8       -0.806627         2.39859    -1.84118e-19     -0.00356093       -0.011992     4.51038e-11        -5.36984        -1.82292          12.707      0.00197788        0.849515
          4027.2        -0.69207          1.3556    -1.79062e-19     -0.00310716     -0.00879493     2.25988e-11         -3.0303        -1.56415         6.69823      0.00716009        0.841625
          4027.6       -0.562451        0.665442    -1.67674e-19     -0.00285147     -0.00475707     3.57754e-11        -1.48654        -1.27193         2.47893       0.0215966        0.811887
            4028       -0.375737        0.181135    -1.40597e-19     -0.00290029     0.000604095     1.37651e-10       -0.408912       -0.851933        -0.88564       0.0253926        0.771532
          4028.4      -0.0560265       -0.359891     -8.2658e-20     -0.00340934      0.00758663     1.33523e-10        0.792684       -0.133731        -5.11766      0.00609297        0.816176
          4028.8        0.458067        -1.37652     2.83966e-20     -0.00445906       0.0157988    -6.41365e-11         3.06162         1.02062        -12.6759       0.0035955        0.842675
          4029.2         1.15467        -3.14951     1.01578e-19     -0.00597656       0.0240603    -3.04158e-10         7.03227         2.58455        -24.9792       0.0147899        0.861466
          4029.6         1.91358        -5.36883     1.74731e-19     -0.00753279       0.0307425    -5.34475e-10         12.0107         4.28862        -39.6817       0.0323518        0.883533
            4030         2.51857        -6.74282      2.4924e-19     -0.00836612       0.0348149     -6.2698e-10          15.093         5.64795        -49.5534       0.0315266         0.91307
          4030.4         2.87557        -5.65037     3.44141e-19     -0.00950446       0.0377964    -6.95919e-10         12.6283         6.44864        -45.7099       0.0240851        0.978693
          4030.8         3.00139        -3.16458     3.51368e-19      -0.0124229       0.0371609    -3.57012e-10         7.03669         6.72517        -33.7515       0.0185066         1.36581
          4031.2         2.70264        -1.02593     2.84069e-19      -0.0182892       0.0287561     3.05382e-10         2.24363          6.0398         -24.288       0.0320909         1.45976
          4031.6         2.24582        0.430525     2.34568e-19      -0.0220792       0.0218431     1.44253e-10        -1.01783         5.00341        -14.6118      0.00505709          1.3838
            4032         1.75865         1.53104     2.06175e-19      -0.0236957       0.0168637     6.78731e-10        -3.48279         3.90364        -6.09712       0.0416229         1.29137
          4032.4         1.41347         2.48798     1.88156e-19      -0.0238061       0.0141633     7.32969e-10        -5.62982         3.12675        0.606691       0.0267301         1.28354
          4032.8         1.21434         3.26883     1.74801e-19      -0.0234926       0.0114916     4.41258e-10        -7.38073         2.67942         5.55289      0.00553646         1.26813
          4033.2         1.05981         3.34151     1.65505e-19      -0.0235299      0.00830913    -4.33205e-11        -7.53709         2.33163         6.96266       0.0326646         1.25126
          4033.6        0.903645         1.93373     1.65785e-19      -0.0239091      0.00497021    -3.26617e-10        -4.36208         1.97941         1.73978       0.0191107         1.23532
            4034        0.752388        -4.32063     2.26659e-19      -0.0244944       0.0018669    -5.22201e-10         9.71721         1.63776        -25.1817       0.0166025         1.21317
          4034.4        0.639886        -10.4154     2.97481e-19      -0.0251903    -0.000603073    -7.06859e-10          23.436         1.38307        -51.4078       0.0242328         1.16287
          4034.8        0.612921        -11.4552     3.18749e-19      -0.0259355     -0.00192202    -7.30337e-10         25.7786         1.32072        -55.1378       0.0100002         1.07836
          4035.2        0.682682        -10.2307     3.19085e-19      -0.0265532     -0.00205371    -7.23249e-10         23.0238         1.47629        -49.1178        0.023223         1.03012
          4035.6        0.790131          -7.113     2.93258e-19      -0.0269979     -0.00178375    -7.81313e-10         16.0083         1.71705        -34.8182       0.0200545         1.05972
            4036        0.848475        -5.94514      2.8455e-19       -0.027425     -0.00191631    -8.63354e-10         13.3809         1.84736        -29.0444        0.010794         1.10164
          4036.4        0.797272        -7.28567     2.92183e-19      -0.0279088     -0.00273654    -7.83853e-10         16.3989         1.73107        -34.0839      0.00962329         1.12544
          4036.8        0.640027        -9.74113     2.96795e-19      -0.0282979     -0.00406975    -3.79693e-10         21.9267         1.37639        -43.7594      0.00714558         1.13422
          4037.2        0.444035        -15.9796     3.47323e-19       -0.028413     -0.00540683     5.43558e-10         35.9663         0.93515        -70.3968       0.0220293         1.10408
          4037.6        0.292784        -13.3134     2.84966e-19      -0.0280901     -0.00625291     1.44011e-09         29.9693        0.595562        -57.3309       0.0220007         1.07182
            4038        0.198434        -10.1475     2.25413e-19      -0.0272493     -0.00694057     2.26128e-09         22.8474        0.385165        -42.4461      0.00926387         1.08469
          4038.4        0.134122        -6.98283     1.75519e-19      -0.0260121     -0.00792592     3.87442e-09         15.7292        0.243248        -27.6693       0.0216128         1.11849
          4038.8       0.0938039        -5.54285      1.5094e-19      -0.0243433     -0.00901996     5.13291e-09         12.4917        0.156286        -20.7865      0.00595974         1.18358
          4039.2       0.0460871         -4.5205     1.28005e-19       -0.021904      -0.0100042     7.37964e-09         10.1936       0.0544119        -15.8769       0.0113339         1.26832
          4039.6      -0.0368721        -4.00064     1.07981e-19      -0.0190548       -0.010999     1.36924e-08         9.02619       -0.125835        -13.1807      0.00792925         1.25095
            4040        -0.15202        -4.75339     1.00789e-19      -0.0168054      -0.0122101      4.4283e-08         10.7226       -0.379857        -16.0924      0.00771245         1.24219
          4040.4       -0.285054        -4.59476     7.09515e-20      -0.0149672      -0.0133833     7.73812e-08         10.3683       -0.675048        -14.7832       0.0195875         1.31574
          4040.8       -0.395688        -3.60895     4.70342e-20      -0.0143392      -0.0143595      1.1703e-07         8.15245       -0.922559         -9.7275       0.0217604         1.38219
          4041.2       -0.367877        -3.13925     6.56487e-20      -0.0150178      -0.0141465     1.46163e-07         7.09513       -0.861508        -7.67527       0.0092703         1.39972
          4041.6       -0.138029        -4.44498     1.20073e-19      -0.0159139      -0.0123461     8.35029e-08          10.029       -0.346363        -14.9794      0.00689605         1.27458
            4042        0.142778         -6.2309     1.69784e-19      -0.0160647      -0.0101537     1.06009e-07         14.0424        0.285115        -24.7677       0.0113706         1.13389
          4042.4        0.296913        -7.38507     1.85452e-19      -0.0159189     -0.00882154       1.934e-07         16.6363        0.632239        -30.9749      0.00382916         1.15379
          4042.8        0.293833         -3.7367     1.20253e-19      -0.0155162     -0.00828086     1.89316e-07         8.42621        0.626208        -14.7344       0.0100588         1.22937
          4043.2        0.204895       -0.466658     5.41655e-20       -0.014987     -0.00805286     9.94647e-08         1.06808        0.427287        0.160023       0.0297071         1.23314
          4043.6       0.0869574         1.00775     1.60824e-20      -0.0157271     -0.00794731     9.26897e-08        -2.24957        0.160263         6.87093       0.0207903         1.38862
